step,epoch,train_loss,eval_loss,eval_top1_accuracy,eval_mrr,learning_rate,eval_runtime,eval_samples_per_second,eval_steps_per_second
413,0.24986765484383272,1.0398470160458912,0.044133272022008896,0.9858831833421563,0.9926621963413917,1.9455462184873953e-05,270.8369,20.924,2.618
826,0.49973530968766544,0.8754436502156477,0.044784653931856155,0.9867654843832716,0.9930592318098934,1.6678991596638657e-05,271.1183,20.902,2.615
1239,0.7496029645314981,0.7735217373827179,0.04330575838685036,0.9876477854243868,0.9935739074172107,1.3902521008403362e-05,270.8207,20.925,2.618
1652,0.9994706193753309,0.6550870068714059,0.04248293116688728,0.9876477854243868,0.993676842538674,1.112605042016807e-05,270.8348,20.924,2.618
2065,1.2492626484156395,0.3762524399284012,0.043033916503190994,0.9897653079230634,0.9947061937533086,8.349579831932774e-06,270.863,20.922,2.618
2478,1.499130303259472,0.2801953886092142,0.05166158080101013,0.9894123875066173,0.9945738485971414,5.57310924369748e-06,271.2927,20.889,2.613
2891,1.7489979581033048,0.43965777011529583,0.04238779470324516,0.9911769895888477,0.9955149697076644,2.796638655462185e-06,271.16,20.899,2.615
3304,1.9988656129471376,0.32038746388137485,0.04296174645423889,0.9911769895888477,0.9955149697076644,2.016806722689076e-08,271.0193,20.91,2.616
3306,2.0,0.32038746388137485,0.04297097027301788,0.9910005293806247,0.9954267396035529,2.016806722689076e-08,271.6275,20.863,2.61
